id,first_name,last_name,email_address,status,group_id
1,Alex,Ortiz-Rosado,alex@breezechms.com,active,1
2,Jon,VerLee,jon@breezechms.com,archived,2
3,Fred,Flintstone,fredflintstone@example.com,active,3
4,Marie,Bourne,mbourne@example.com,active,1
5,Fred,Rogers,fred@mrrogers.com,active,4
6,Daniel,Tiger,daniel@neighborhood.com,active,1
7,Ralph,Macchio,ralph@thekaratekid.com,archived,4
8,Pat,Morita,pat@mrmiyagi.com,active,3
9,One-eyed,Willy,one@goonies.com,active,2
10,Luke,Skywalker,jedi@master.com,active,4
